univNameCn,univNameEn,univTags,univCategory,province,score,ranking
中国农业大学,China Agricultural University,双一流 985 211,农业,北京,433.7,29
电子科技大学,University of Electronic Science and Technology of China,双一流 985 211,理工,四川,432.0,30
大连理工大学,Dalian University of Technology,双一流 985 211,理工,辽宁,426.5,31
湖南大学,Hunan University,双一流 985 211,综合,湖南,417.5,32
南京理工大学,Nanjing University of Science and Technology,双一流 211,理工,江苏,398.8,33
重庆大学,Chongqing University,双一流 985 211,综合,重庆,397.2,34
南方科技大学,Southern University of Science and Technology,双一流,综合,广东,397.1,35
北京科技大学,University of Science and Technology Beijing,双一流 211,理工,北京,393.2,36
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,双一流 211,理工,江苏,387.1,37
兰州大学,Lanzhou University,双一流 985 211,综合,甘肃,377.2,38
东北大学,Northeastern University,双一流 985 211,理工,辽宁,376.8,39
北京交通大学,Beijing jiaotong University,双一流 211,理工,北京,364.1,40
西安电子科技大学,Xidian University,双一流 211,理工,陕西,362.6,41
华中农业大学,Huazhong Agricultural University,双一流 211,农业,湖北,361.9,42
苏州大学,Soochow University (China),双一流 211,综合,江苏,361.5,43
东北师范大学,Northeast Normal University,双一流 211,师范,吉林,356.8,44
华东理工大学,East China University of Science and Technology,双一流 211,理工,上海,352.4,45
上海大学,Shanghai University,双一流 211,综合,上海,349.6,46
暨南大学,Jinan University,双一流 211,综合,广东,347.2,47
中国石油大学（北京）,China University of Petroleum - Beijing,双一流 211,理工,北京,346.4,48
南京农业大学,Nanjing Agricultural University,双一流 211,农业,江苏,345.3,49
华中师范大学,Central China Normal University,双一流 211,师范,湖北,343.5,50
郑州大学,Zhengzhou University,双一流 211,综合,河南,339.8,51
西南交通大学,Southwest Jiaotong University,双一流 211,理工,四川,336.7,52
哈尔滨工程大学,Harbin Engineering University,双一流 211,理工,黑龙江,335.7,53
中国矿业大学,China University of Mining and Technology - Xuzhou,双一流 211,理工,江苏,333.8,54
上海科技大学,ShanghaiTech University,双一流,综合,上海,332.4,55
武汉理工大学,Wuhan University of Technology,双一流 211,理工,湖北,332.4,55
中国海洋大学,Ocean University of China,双一流 985 211,综合,山东,332.0,57
中国地质大学（武汉）,China University of Geosciences (Wuhan),双一流 211,理工,湖北,329.7,58
江南大学,Jiangnan University,双一流 211,综合,江苏,329.4,59
河海大学,Hohai University,双一流 211,理工,江苏,329.2,60
南京师范大学,Nanjing Normal University,双一流 211,师范,江苏,325.1,61
北京邮电大学,Beijing University of Posts and Telecommunications,双一流 211,理工,北京,324.7,62
北京工业大学,Beijing University of Technology,双一流 211,理工,北京,319.9,63
北京化工大学,Beijing University of Chemical Technology,双一流 211,理工,北京,318.3,64
中国石油大学（华东）,China University of Petroleum (Huadong),双一流 211,理工,山东,317.6,65
浙江工业大学,Zhejiang University of Technology,,理工,浙江,314.5,66
西北大学,Northwest University,双一流 211,综合,陕西,311.7,67
深圳大学,Shenzhen University,,综合,广东,307.2,68
西南大学,Southwest University,双一流 211,综合,重庆,304.6,69
中国地质大学（北京）,China University of Geosciences (Beijing),双一流 211,理工,北京,304.3,70
陕西师范大学,Shaanxi Normal University,双一流 211,师范,陕西,302.5,71
